,ansatz_0a_su2,ansatz_0b_su2,ansatz_0c_su2,ansatz_0d_su2,ansatz_1a_su2,ansatz_1b_su2,ansatz_1c_su2,ansatz_1d_su2
0,6.7548828125,3.7490234375,6.6494140625,6.5224609375,6.6513671875,3.7490234375,6.64453125,6.73828125
1,6.708984375,3.7490234375,6.7265625,6.0283203125,6.6376953125,3.7490234375,6.11328125,6.0712890625
2,6.990234375,3.7490234375,6.7021484375,5.9765625,6.5654296875,3.7490234375,6.2109375,6.2236328125
3,6.6630859375,3.7490234375,6.482421875,6.21484375,6.4140625,3.7490234375,6.125,6.236328125
4,7.0888671875,3.7490234375,6.544921875,5.9443359375,6.4990234375,3.7490234375,6.080078125,6.0302734375
5,6.7470703125,3.7490234375,6.6826171875,6.2021484375,5.8359375,3.7490234375,6.0751953125,6.5361328125
6,6.60546875,3.7490234375,6.853515625,6.265625,5.9677734375,3.7490234375,5.7587890625,5.365234375
7,6.4140625,3.7490234375,6.564453125,6.162109375,6.1171875,3.7490234375,5.7509765625,5.6484375
8,6.708984375,3.7490234375,6.5244140625,6.0380859375,5.5703125,3.7490234375,5.7607421875,5.826171875
9,6.7275390625,3.7490234375,6.4921875,5.685546875,5.9072265625,3.7490234375,5.7568359375,5.1416015625
10,6.1279296875,3.7490234375,6.4794921875,5.5478515625,6.0771484375,3.7490234375,5.7353515625,4.955078125
11,6.1083984375,3.7490234375,6.5068359375,5.5302734375,5.4404296875,3.7490234375,5.67578125,5.169921875
12,6.2041015625,3.7490234375,6.4931640625,5.55859375,5.2373046875,3.7490234375,5.6376953125,5.251953125
13,5.8212890625,3.7490234375,6.3349609375,5.7958984375,4.697265625,3.7490234375,6.001953125,4.662109375
14,5.935546875,3.7490234375,6.412109375,5.810546875,4.673828125,3.7490234375,5.4345703125,5.021484375
15,6.0625,3.7490234375,6.3955078125,6.1396484375,4.662109375,3.7490234375,5.5341796875,4.6748046875
16,5.6962890625,3.7490234375,6.4404296875,5.072265625,4.8564453125,3.7490234375,5.2294921875,4.388671875
17,5.642578125,3.7490234375,6.380859375,5.0087890625,4.6337890625,3.7490234375,5.4638671875,4.4697265625
18,5.404296875,3.7490234375,6.3671875,5.1181640625,4.3232421875,3.7490234375,5.3212890625,4.3359375
19,5.509765625,3.7490234375,6.328125,5.25390625,4.4287109375,3.7490234375,5.2255859375,4.3388671875
20,5.5400390625,3.7490234375,6.3046875,5.1708984375,4.38671875,3.7490234375,5.2314453125,4.490234375
21,5.642578125,3.7490234375,6.333984375,5.28515625,4.70703125,3.7490234375,5.220703125,4.1796875
22,5.4873046875,3.7490234375,6.3154296875,5.1474609375,4.24609375,3.7490234375,5.2080078125,4.65625
23,4.896484375,3.7490234375,6.3564453125,5.1533203125,4.9169921875,3.7490234375,5.193359375,4.244140625
24,4.724609375,3.7490234375,6.361328125,5.0087890625,4.2900390625,3.7490234375,5.2197265625,4.677734375
25,4.607421875,3.7490234375,6.158203125,4.8515625,4.2900390625,3.7490234375,4.9638671875,4.3037109375
26,4.958984375,3.7490234375,6.4072265625,4.869140625,4.583984375,3.7490234375,5.0400390625,4.37109375
27,4.7626953125,3.7490234375,5.865234375,4.9990234375,4.162109375,3.7490234375,5.2373046875,4.1044921875
28,4.369140625,3.7490234375,5.90625,4.8486328125,4.193359375,3.7490234375,5.2880859375,4.224609375
29,4.3759765625,3.7490234375,5.8662109375,4.9111328125,4.15234375,3.7490234375,5.0986328125,3.93359375
30,4.42578125,3.7490234375,5.9697265625,4.8564453125,4.1953125,3.7490234375,4.861328125,3.880859375
31,4.3955078125,3.7490234375,5.9326171875,4.9833984375,4.1279296875,3.7490234375,4.849609375,3.8681640625
32,4.6474609375,3.7490234375,6.0048828125,5.0849609375,4.1123046875,3.7490234375,5.2021484375,3.9619140625
33,4.650390625,3.7490234375,5.849609375,4.884765625,4.271484375,3.7490234375,4.83984375,3.810546875
34,4.375,3.7490234375,6.12109375,4.7177734375,4.0322265625,3.7490234375,4.8154296875,3.8193359375
35,4.6123046875,3.7490234375,5.984375,4.54296875,4.0029296875,3.7490234375,4.822265625,3.8115234375
36,4.580078125,3.7490234375,5.7001953125,4.75,4.05078125,3.7490234375,5.22265625,3.8056640625
37,4.5771484375,3.7490234375,5.71875,4.5693359375,3.912109375,3.7490234375,4.6357421875,3.908203125
38,4.3623046875,3.7490234375,5.8349609375,4.3740234375,3.9658203125,3.7490234375,4.9130859375,3.921875
39,4.4306640625,3.7490234375,5.6611328125,4.455078125,3.8837890625,3.7490234375,4.6474609375,3.8017578125
40,4.2822265625,3.7490234375,5.728515625,4.5078125,3.92578125,3.7490234375,4.5283203125,3.916015625
41,4.2568359375,3.7490234375,5.638671875,4.4228515625,3.9697265625,3.7490234375,4.76171875,3.849609375
42,4.2451171875,3.7490234375,5.796875,4.2998046875,3.9208984375,3.7490234375,4.802734375,3.830078125
43,4.2314453125,3.7490234375,5.6142578125,4.4794921875,3.9375,3.7490234375,4.5361328125,3.828125
44,4.2119140625,3.7490234375,5.5771484375,4.38671875,4.025390625,3.7490234375,4.3447265625,3.8095703125
45,4.3603515625,3.7490234375,5.544921875,4.2431640625,3.8974609375,3.7490234375,4.3564453125,3.7998046875
46,4.18359375,3.7490234375,5.4951171875,4.275390625,3.9462890625,3.7490234375,4.353515625,3.78125
47,4.248046875,3.7490234375,5.50390625,4.46484375,3.978515625,3.7490234375,4.318359375,3.787109375
48,4.1201171875,3.7490234375,5.458984375,4.2861328125,3.9140625,3.7490234375,4.62890625,3.794921875
49,4.2939453125,3.7490234375,5.4736328125,4.1474609375,3.876953125,3.7490234375,4.3486328125,3.759765625
50,4.1875,3.7490234375,5.7109375,4.2001953125,3.8857421875,3.7490234375,4.17578125,3.7900390625
51,4.05859375,3.7490234375,5.6357421875,4.22265625,3.9072265625,3.7490234375,4.3203125,3.80078125
52,4.0673828125,3.7490234375,5.681640625,4.28125,3.8525390625,3.7490234375,4.435546875,3.8125
53,3.87890625,3.7490234375,5.47265625,4.3955078125,3.876953125,3.7490234375,4.12890625,3.8017578125
54,3.8466796875,3.7490234375,5.7998046875,4.0654296875,3.8662109375,3.7490234375,4.6640625,3.8115234375
55,3.8955078125,3.7490234375,5.6220703125,4.0498046875,3.85546875,3.7490234375,4.2587890625,3.76953125
56,3.98828125,3.7490234375,5.978515625,3.974609375,3.8095703125,3.7490234375,4.2265625,3.8037109375
57,3.943359375,3.7490234375,5.669921875,3.99609375,3.82421875,3.7490234375,4.119140625,3.77734375
58,4.013671875,3.7490234375,5.544921875,3.97265625,3.8291015625,3.7490234375,4.2099609375,3.8046875
59,3.908203125,3.7490234375,5.4609375,3.9970703125,3.8115234375,3.7490234375,4.109375,3.7705078125
60,3.86328125,3.7490234375,5.72265625,3.9951171875,3.837890625,3.7490234375,4.3876953125,3.7763671875
61,3.9814453125,3.7490234375,5.5498046875,3.9716796875,3.8310546875,3.7490234375,4.3740234375,3.7998046875
62,3.955078125,3.7490234375,5.45703125,3.9658203125,3.8359375,3.7490234375,4.25,3.7900390625
63,3.904296875,3.7490234375,5.490234375,3.916015625,3.8232421875,3.7490234375,4.158203125,3.76171875
64,3.923828125,3.7490234375,5.55078125,3.96484375,3.822265625,3.7490234375,4.2626953125,3.779296875
65,3.8349609375,3.7490234375,5.4814453125,3.9111328125,3.818359375,3.7490234375,4.1689453125,3.7607421875
66,3.8515625,3.7490234375,5.685546875,3.900390625,3.8203125,3.7490234375,4.22265625,3.7685546875
67,3.8359375,3.7490234375,5.5224609375,3.9033203125,3.8291015625,3.7490234375,4.203125,3.7587890625
68,3.8486328125,3.7490234375,5.607421875,4.0458984375,3.8359375,3.7490234375,4.40234375,3.76171875
69,3.84765625,3.7490234375,5.482421875,3.9306640625,3.8447265625,3.7490234375,4.0771484375,3.7607421875
70,3.8544921875,3.7490234375,5.7666015625,3.8935546875,3.810546875,3.7490234375,4.0224609375,3.7646484375
71,3.841796875,3.7490234375,5.5634765625,3.931640625,3.8115234375,3.7490234375,4.064453125,3.76953125
72,3.837890625,3.7490234375,5.5771484375,3.962890625,3.8095703125,3.7490234375,4.0283203125,3.771484375
73,3.7978515625,,5.4990234375,3.9501953125,3.814453125,,4.0166015625,3.7646484375
74,3.8486328125,,5.6552734375,3.9482421875,3.80859375,,4.01953125,3.76171875
75,3.822265625,,5.6748046875,3.9189453125,3.8154296875,,4.0234375,3.767578125
76,3.8134765625,,5.5791015625,3.8955078125,3.8212890625,,4.0166015625,3.763671875
77,3.7958984375,,5.658203125,3.8798828125,3.8125,,4.0078125,3.7763671875
78,3.8203125,,5.4873046875,3.841796875,3.8154296875,,4.0048828125,3.759765625
79,3.79296875,,5.4765625,3.86328125,3.80859375,,4.06640625,3.7607421875
80,3.79296875,,5.4658203125,3.8349609375,3.8134765625,,4.0224609375,3.7587890625
81,3.798828125,,5.462890625,3.8310546875,3.8115234375,,3.982421875,3.76171875
82,3.7900390625,,5.4716796875,3.8427734375,3.8310546875,,4.080078125,3.7607421875
83,3.8134765625,,5.6142578125,3.8134765625,3.806640625,,3.9453125,3.7607421875
84,3.8154296875,,5.451171875,3.8076171875,3.8154296875,,3.994140625,3.7607421875
85,3.845703125,,5.564453125,3.8212890625,3.8251953125,,4.0751953125,3.7607421875
86,3.849609375,,5.54296875,3.8544921875,3.814453125,,3.9755859375,3.76171875
87,3.8271484375,,5.369140625,3.83203125,3.8173828125,,3.923828125,3.759765625
88,3.7998046875,,5.4130859375,3.83203125,3.810546875,,3.974609375,3.7587890625
89,3.8037109375,,5.3369140625,3.8486328125,3.810546875,,4.01953125,3.7587890625
90,3.7841796875,,5.29296875,3.818359375,3.806640625,,3.9462890625,3.763671875
91,3.7841796875,,5.212890625,3.830078125,3.8125,,3.97265625,3.76171875
92,3.802734375,,5.2119140625,3.8515625,3.806640625,,3.9111328125,3.759765625
93,3.7724609375,,5.1943359375,3.84375,3.8134765625,,3.9853515625,3.76171875
94,3.7802734375,,5.23828125,3.814453125,3.806640625,,3.9775390625,3.7626953125
95,3.787109375,,5.3212890625,3.80859375,3.8095703125,,3.9248046875,3.7607421875
96,3.796875,,5.1494140625,3.8291015625,3.8125,,3.9033203125,3.759765625
97,3.7783203125,,5.080078125,3.8017578125,3.806640625,,3.900390625,3.759765625
98,3.8369140625,,5.0712890625,3.8056640625,3.8076171875,,3.9072265625,3.7607421875
99,3.7919921875,,5.16796875,3.8115234375,3.8076171875,,3.9501953125,3.759765625
100,3.8017578125,,5.064453125,3.8037109375,3.8056640625,,3.9677734375,3.759765625
101,3.79296875,,5.046875,3.8076171875,3.8134765625,,3.9677734375,3.759765625
102,3.775390625,,5.0576171875,3.7998046875,3.8076171875,,3.9111328125,3.759765625
103,3.7861328125,,5.017578125,3.79296875,3.810546875,,3.966796875,3.759765625
104,3.783203125,,5.0009765625,3.802734375,3.8076171875,,3.916015625,3.759765625
105,3.779296875,,4.9697265625,3.7998046875,3.80859375,,3.9736328125,3.7587890625
106,3.775390625,,4.962890625,3.8076171875,3.806640625,,3.9111328125,3.759765625
107,3.7890625,,4.9677734375,3.802734375,3.80859375,,4.048828125,3.7587890625
108,3.7841796875,,5.0078125,3.80078125,3.8095703125,,3.91015625,3.7587890625
109,3.7783203125,,4.94140625,3.80078125,3.8056640625,,3.9794921875,3.7587890625
110,3.7763671875,,4.927734375,3.8046875,3.806640625,,3.9228515625,3.7587890625
111,3.7822265625,,4.927734375,3.7958984375,3.8076171875,,3.9521484375,3.7587890625
112,3.783203125,,4.9580078125,3.8095703125,3.806640625,,3.8671875,3.7587890625
113,3.775390625,,5.10546875,3.7958984375,3.8115234375,,3.900390625,3.759765625
114,3.771484375,,4.935546875,3.7939453125,3.806640625,,3.8857421875,3.7587890625
115,3.771484375,,5.0009765625,3.7978515625,3.806640625,,3.8759765625,3.7587890625
116,3.771484375,,4.955078125,3.7998046875,3.8056640625,,3.8994140625,3.7587890625
117,3.779296875,,4.8349609375,3.796875,3.806640625,,3.8828125,3.7587890625
118,3.779296875,,4.99609375,3.7958984375,3.8046875,,3.853515625,3.7587890625
119,3.7744140625,,4.818359375,3.794921875,3.80859375,,3.896484375,3.7587890625
120,3.78125,,4.8896484375,3.7998046875,3.806640625,,3.8740234375,3.7587890625
121,3.775390625,,4.8017578125,3.796875,3.8046875,,3.8671875,3.7587890625
122,3.78125,,4.7607421875,3.79296875,3.8056640625,,3.83203125,3.7587890625
123,3.775390625,,4.791015625,3.79296875,3.8056640625,,3.826171875,3.7587890625
124,3.771484375,,4.751953125,3.794921875,3.806640625,,3.830078125,
125,3.7734375,,4.8046875,3.794921875,3.8056640625,,3.8525390625,
126,3.7763671875,,4.779296875,3.794921875,3.8046875,,3.8359375,
127,3.775390625,,4.8193359375,3.794921875,3.8046875,,3.8486328125,
128,3.771484375,,4.923828125,3.7919921875,3.806640625,,3.826171875,
129,3.7734375,,4.7578125,3.7958984375,3.8056640625,,3.8046875,
130,3.771484375,,4.640625,3.794921875,3.8056640625,,3.81640625,
131,3.771484375,,4.763671875,3.7939453125,3.8056640625,,3.8095703125,
132,3.7724609375,,4.740234375,3.794921875,3.8056640625,,3.8125,
133,3.771484375,,4.673828125,3.7958984375,3.8056640625,,3.833984375,
134,3.7734375,,4.6474609375,3.7958984375,3.8046875,,3.857421875,
135,3.771484375,,4.669921875,3.7939453125,3.8046875,,3.81640625,
136,3.7724609375,,4.6806640625,3.796875,3.8046875,,3.78125,
137,3.7724609375,,4.6748046875,3.794921875,3.8046875,,3.796875,
138,3.7705078125,,4.7236328125,3.79296875,3.8046875,,3.80859375,
139,3.775390625,,4.673828125,3.79296875,3.8046875,,3.7880859375,
140,3.7705078125,,4.66015625,3.79296875,3.8046875,,3.810546875,
141,3.7724609375,,4.6015625,3.79296875,3.8046875,,3.814453125,
142,3.771484375,,4.6123046875,3.79296875,3.8046875,,3.8037109375,
143,3.7734375,,4.5498046875,3.7919921875,3.8046875,,3.8134765625,
144,3.771484375,,4.4892578125,3.7939453125,3.8056640625,,3.810546875,
145,3.7724609375,,4.6103515625,3.7919921875,3.8046875,,3.7978515625,
146,3.7705078125,,4.546875,3.7939453125,,,3.8291015625,
147,3.7705078125,,4.56640625,3.7939453125,,,3.8115234375,
148,3.7705078125,,4.552734375,3.7919921875,,,3.7900390625,
149,3.7705078125,,4.4833984375,3.7939453125,,,3.7900390625,
150,3.771484375,,4.5244140625,3.7919921875,,,3.7900390625,
151,3.771484375,,4.38671875,3.7919921875,,,3.8095703125,
152,3.7705078125,,4.4501953125,3.7939453125,,,3.783203125,
153,3.7705078125,,4.615234375,3.79296875,,,3.8125,
154,3.771484375,,4.3515625,3.79296875,,,3.783203125,
155,3.771484375,,4.27734375,3.7939453125,,,3.7958984375,
156,3.7705078125,,4.244140625,3.79296875,,,3.78515625,
157,3.7705078125,,4.34375,3.79296875,,,3.79296875,
158,3.7705078125,,4.2529296875,3.79296875,,,3.7900390625,
159,3.7705078125,,4.1171875,3.79296875,,,3.8125,
160,3.7705078125,,4.1025390625,3.7919921875,,,3.7880859375,
161,3.7705078125,,4.12890625,3.7919921875,,,3.79296875,
162,3.7705078125,,4.0654296875,3.7919921875,,,3.779296875,
163,3.7705078125,,4.05078125,3.7919921875,,,3.78125,
164,3.7705078125,,4.0732421875,3.79296875,,,3.78125,
165,3.7705078125,,4.091796875,3.7919921875,,,3.78515625,
166,3.7705078125,,4.03125,3.7919921875,,,3.7763671875,
167,,,4.0498046875,3.7919921875,,,3.771484375,
168,,,4.130859375,3.79296875,,,3.7783203125,
169,,,4.1904296875,,,,3.7734375,
170,,,4.0478515625,,,,3.7900390625,
171,,,4.1044921875,,,,3.7861328125,
172,,,4.07421875,,,,3.77734375,
173,,,4.0537109375,,,,3.7822265625,
174,,,4.0625,,,,3.78125,
175,,,4.0634765625,,,,3.7763671875,
176,,,4.099609375,,,,3.7841796875,
177,,,4.0498046875,,,,3.775390625,
178,,,4.072265625,,,,3.7880859375,
179,,,4.12109375,,,,3.7724609375,
180,,,4.1015625,,,,3.7783203125,
181,,,4.0859375,,,,3.771484375,
182,,,4.037109375,,,,3.779296875,
183,,,4.0078125,,,,3.7763671875,
184,,,3.990234375,,,,3.767578125,
185,,,4.0166015625,,,,3.78125,
186,,,3.96875,,,,3.7705078125,
187,,,3.96484375,,,,3.7734375,
188,,,3.923828125,,,,3.7744140625,
189,,,3.9453125,,,,3.7744140625,
190,,,3.9404296875,,,,3.7734375,
191,,,3.9365234375,,,,3.7744140625,
192,,,3.9169921875,,,,3.7734375,
193,,,3.939453125,,,,3.7763671875,
194,,,3.853515625,,,,3.7685546875,
195,,,3.861328125,,,,3.7724609375,
196,,,3.8447265625,,,,3.7685546875,
