,ansatz_0a_su2_2f,ansatz_0b_su2_2f,ansatz_0c_su2_2f,ansatz_0d_su2_2f,ansatz_1a_su2_2f,ansatz_1b_su2_2f,ansatz_1c_su2_2f,ansatz_1d_su2_2f
0,7.6845703125,4.498046875,7.55078125,7.619140625,8.2412109375,4.498046875,7.5341796875,7.6025390625
1,7.841796875,4.498046875,7.4345703125,7.6015625,8.73828125,4.498046875,7.2314453125,7.0087890625
2,7.6826171875,4.498046875,7.4462890625,7.42578125,7.916015625,4.498046875,7.0712890625,7.1435546875
3,7.7373046875,4.498046875,7.6396484375,7.60546875,7.708984375,4.498046875,6.9091796875,6.6162109375
4,7.9306640625,4.498046875,7.51953125,7.130859375,7.8349609375,4.498046875,7.0869140625,6.89453125
5,7.5498046875,4.498046875,7.3505859375,7.37890625,7.521484375,4.498046875,6.931640625,6.6845703125
6,7.501953125,4.498046875,7.3212890625,7.1845703125,7.7099609375,4.498046875,7.1103515625,6.359375
7,7.361328125,4.498046875,7.248046875,7.33984375,7.4541015625,4.498046875,6.91796875,6.8203125
8,7.0927734375,4.498046875,7.259765625,7.0908203125,7.2958984375,4.498046875,6.962890625,6.9326171875
9,7.0361328125,4.498046875,7.203125,7.0341796875,7.0478515625,4.498046875,6.8994140625,7.203125
10,7.0244140625,4.498046875,7.2841796875,7.056640625,7.3203125,4.498046875,6.9345703125,6.8125
11,6.865234375,4.498046875,7.40625,6.9375,7.5537109375,4.498046875,6.7587890625,6.7822265625
12,7.322265625,4.498046875,7.4267578125,6.9248046875,7.41796875,4.498046875,6.7333984375,6.7294921875
13,7.134765625,4.498046875,7.357421875,7.234375,6.8203125,4.498046875,6.9013671875,6.291015625
14,7.32421875,4.498046875,7.3486328125,7.15234375,6.69921875,4.498046875,6.7109375,7.0546875
15,6.5712890625,4.498046875,7.236328125,6.4560546875,6.830078125,4.498046875,6.6728515625,6.4560546875
16,6.595703125,4.498046875,7.14453125,6.537109375,6.810546875,4.498046875,6.7490234375,6.7802734375
17,6.6328125,4.498046875,7.05859375,6.384765625,6.873046875,4.498046875,6.587890625,6.0107421875
18,6.845703125,4.498046875,7.115234375,6.5888671875,6.7646484375,4.498046875,6.67578125,6.5810546875
19,6.5224609375,4.498046875,6.974609375,6.498046875,6.1962890625,4.498046875,6.572265625,5.66796875
20,6.4892578125,4.498046875,7.0087890625,6.337890625,6.1787109375,4.498046875,6.5458984375,5.8837890625
21,6.4970703125,4.498046875,7.0751953125,6.7177734375,6.0244140625,4.498046875,6.671875,5.7841796875
22,6.5439453125,4.498046875,7.048828125,6.5146484375,6.3623046875,4.498046875,6.5078125,5.9326171875
23,6.5537109375,4.498046875,7.076171875,6.3740234375,6.1005859375,4.498046875,6.8095703125,5.9765625
24,6.2373046875,4.498046875,6.9375,6.3251953125,6.001953125,4.498046875,6.6123046875,5.6396484375
