,ansatz_0a_su2_3f,ansatz_0b_su2_3f,ansatz_0c_su2_3f,ansatz_0d_su2_3f,ansatz_1a_su2_3f,ansatz_1b_su2_3f,ansatz_1c_su2_3f,ansatz_1d_su2_3f
0,7.53515625,4.498046875,7.587890625,7.8505859375,7.4658203125,4.498046875,7.6533203125,8.1806640625
1,7.775390625,4.50390625,7.634765625,7.611328125,7.470703125,4.50390625,7.408203125,7.828125
2,7.6201171875,4.5078125,7.51171875,7.3740234375,7.513671875,4.5078125,7.2421875,8.4580078125
3,7.37109375,4.486328125,7.525390625,7.759765625,7.3505859375,4.486328125,7.611328125,7.4521484375
4,7.4931640625,4.4765625,7.4921875,7.396484375,7.205078125,4.4765625,7.7060546875,7.96484375
5,7.8427734375,4.525390625,7.66796875,7.705078125,7.40234375,4.525390625,7.3359375,7.72265625
6,7.3115234375,4.490234375,7.5107421875,7.5224609375,7.1640625,4.490234375,7.4580078125,7.48046875
7,7.7685546875,4.5,7.5546875,7.5302734375,7.5224609375,4.5,7.58984375,8.32421875
8,7.9462890625,4.5390625,7.478515625,7.6435546875,7.66015625,4.5390625,7.48828125,7.8984375
9,7.2685546875,4.53515625,7.7685546875,7.4697265625,7.15234375,4.53515625,7.4072265625,7.919921875
10,7.70703125,4.529296875,7.5859375,7.5625,7.6064453125,4.529296875,7.3603515625,8.06640625
11,7.6201171875,4.515625,7.626953125,7.693359375,7.38671875,4.515625,7.546875,7.560546875
12,7.8740234375,4.52734375,7.4755859375,7.7802734375,7.447265625,4.52734375,7.6708984375,7.8525390625
13,7.5478515625,4.53125,7.7724609375,7.703125,7.263671875,4.53125,7.3740234375,7.978515625
14,7.482421875,4.474609375,7.5595703125,7.6611328125,7.2880859375,4.474609375,7.2080078125,7.2392578125
15,7.6923828125,4.48046875,7.2158203125,7.6240234375,7.76171875,4.48046875,7.681640625,8.3720703125
16,7.4306640625,4.484375,7.4130859375,7.7353515625,7.3046875,4.484375,7.4169921875,7.587890625
17,7.634765625,4.478515625,7.57421875,7.65234375,7.8046875,4.478515625,7.4521484375,7.9443359375
18,7.8388671875,4.544921875,7.6015625,7.3720703125,7.6708984375,4.544921875,7.5927734375,8.33984375
19,7.541015625,4.51171875,7.5087890625,7.7509765625,6.9521484375,4.51171875,7.248046875,7.5107421875
20,7.6025390625,4.533203125,7.673828125,7.91015625,7.755859375,4.533203125,7.51171875,7.78515625
21,7.5439453125,4.513671875,7.650390625,7.0546875,7.2783203125,4.513671875,7.306640625,7.78515625
22,7.6650390625,4.5390625,7.6162109375,7.662109375,7.4482421875,4.5390625,7.513671875,7.9462890625
23,7.3251953125,4.544921875,7.763671875,7.544921875,7.30859375,4.544921875,7.390625,7.7978515625
24,7.7314453125,4.5234375,7.5576171875,7.48828125,7.3798828125,4.5234375,7.416015625,7.9990234375
25,7.1748046875,4.51953125,7.71484375,7.7626953125,7.341796875,4.51953125,7.212890625,7.654296875
26,7.6171875,4.5078125,7.478515625,7.66015625,7.5625,4.5078125,7.64453125,8.05078125
27,7.41015625,4.515625,7.5869140625,7.5498046875,7.45703125,4.515625,7.576171875,7.9228515625
28,7.7470703125,4.462890625,7.5771484375,7.7587890625,7.7626953125,4.462890625,7.4990234375,8.083984375
29,7.4677734375,4.50390625,7.73828125,7.498046875,7.3056640625,4.50390625,7.490234375,7.462890625
30,7.5283203125,4.529296875,7.611328125,7.748046875,7.251953125,4.529296875,7.6328125,7.6943359375
31,7.853515625,4.54296875,7.63671875,7.40234375,7.67578125,4.54296875,7.1923828125,8.26171875
32,7.5087890625,4.478515625,7.544921875,7.509765625,7.1943359375,4.478515625,7.6162109375,7.7255859375
33,7.74609375,4.52734375,7.5810546875,7.64453125,7.787109375,4.52734375,7.26953125,8.125
34,7.439453125,4.515625,7.4619140625,7.4443359375,7.556640625,4.515625,7.47265625,7.75390625
35,7.7265625,4.529296875,7.630859375,7.4814453125,7.291015625,4.529296875,7.4677734375,7.955078125
36,7.7353515625,4.5078125,7.6015625,7.646484375,7.62890625,4.5078125,7.4423828125,7.4736328125
37,7.6220703125,4.494140625,7.5341796875,7.7353515625,7.5576171875,4.494140625,7.5693359375,8.0595703125
38,7.7744140625,4.513671875,7.646484375,7.833984375,7.2822265625,4.513671875,7.4443359375,7.873046875
39,7.3916015625,4.5234375,7.630859375,7.3466796875,7.6259765625,4.5234375,7.501953125,8.0673828125
40,7.615234375,4.51171875,7.61328125,7.62109375,7.3544921875,4.51171875,7.578125,8.0693359375
41,7.6845703125,4.490234375,7.5078125,7.828125,7.630859375,4.490234375,7.4580078125,7.5439453125
