,ansatz_0a_2f,ansatz_0b_2f,ansatz_0c_2f,ansatz_0d_2f,ansatz_1a_2f,ansatz_1b_2f,ansatz_1c_2f,ansatz_1d_2f
0,6.6201171875,4.498046875,6.8291015625,8.548828125,7.177734375,4.498046875,7.75390625,8.3115234375
1,5.8037109375,4.50390625,6.953125,9.3076171875,7.2568359375,4.50390625,7.3564453125,8.1005859375
2,5.7626953125,4.5078125,6.6142578125,9.2998046875,7.2255859375,4.5078125,7.2021484375,8.279296875
3,6.619140625,4.486328125,7.115234375,8.5439453125,7.3115234375,4.486328125,7.91796875,7.9423828125
4,6.1728515625,4.4765625,7.0751953125,8.7763671875,7.212890625,4.4765625,7.4541015625,8.314453125
5,6.3935546875,4.525390625,6.369140625,8.6064453125,7.279296875,4.525390625,7.7041015625,8.0361328125
6,6.3466796875,4.490234375,7.359375,8.7275390625,7.716796875,4.490234375,7.072265625,7.94921875
7,6.2919921875,4.5,6.2275390625,8.8857421875,6.744140625,4.5,7.9013671875,8.2158203125
8,6.232421875,4.5390625,6.7392578125,8.880859375,7.4599609375,4.5390625,7.6708984375,7.7265625
9,6.3544921875,4.53515625,7.0263671875,8.912109375,7.029296875,4.53515625,7.30078125,8.572265625
10,6.708984375,4.529296875,6.5498046875,8.5791015625,7.484375,4.529296875,7.6279296875,7.93359375
11,5.9794921875,4.515625,6.9453125,9.072265625,6.8740234375,4.515625,7.35546875,8.1474609375
12,6.087890625,4.52734375,6.96875,8.9638671875,7.416015625,4.52734375,7.78515625,7.7841796875
13,6.2802734375,4.53125,6.703125,8.9091796875,7.064453125,4.53125,7.1962890625,8.69921875
14,5.943359375,4.474609375,6.8740234375,8.9921875,7.337890625,4.474609375,7.61328125,8.00390625
15,6.3076171875,4.48046875,6.587890625,8.642578125,6.8115234375,4.48046875,7.453125,8.3427734375
16,5.7802734375,4.484375,6.99609375,9.2275390625,7.7880859375,4.484375,8.12109375,7.81640625
17,6.55078125,4.478515625,7.05078125,8.4814453125,6.74609375,4.478515625,6.984375,8.1015625
