,ansatz_0a_3f,ansatz_0b_3f,ansatz_0c_3f,ansatz_0d_3f,ansatz_1a_3f,ansatz_1b_3f,ansatz_1c_3f,ansatz_1d_3f
0,6.0751953125,4.498046875,7.07421875,6.0751953125,7.630859375,4.498046875,8.1650390625,7.630859375
1,5.705078125,4.498046875,7.4140625,5.705078125,7.947265625,4.498046875,8.0869140625,7.947265625
2,5.2880859375,4.498046875,7.4765625,5.2880859375,7.9482421875,4.498046875,8.1767578125,7.9482421875
3,4.806640625,4.498046875,6.7138671875,4.806640625,7.90625,4.498046875,7.9736328125,7.90625
4,5.0439453125,4.498046875,6.76953125,5.0439453125,7.8134765625,4.498046875,7.955078125,7.8134765625
5,5.158203125,4.498046875,6.681640625,5.158203125,7.251953125,4.498046875,7.78515625,7.251953125
6,4.9755859375,4.498046875,6.796875,4.9755859375,6.8349609375,4.498046875,7.6044921875,6.8349609375
7,4.806640625,4.498046875,6.607421875,4.806640625,6.8349609375,4.498046875,7.3564453125,6.8349609375
8,4.806640625,4.498046875,6.7783203125,4.806640625,6.8349609375,4.498046875,7.212890625,6.8349609375
9,4.806640625,4.498046875,6.41015625,4.806640625,6.8349609375,4.498046875,7.099609375,6.8349609375
10,4.806640625,4.498046875,6.6064453125,4.806640625,6.8349609375,4.498046875,7.359375,6.8349609375
11,4.806640625,4.498046875,6.3662109375,4.806640625,6.8349609375,4.498046875,7.2080078125,6.8349609375
12,4.806640625,4.498046875,6.2587890625,4.806640625,6.8349609375,4.498046875,6.7802734375,6.8349609375
13,4.86328125,4.498046875,6.2587890625,4.86328125,6.8349609375,4.498046875,6.7802734375,6.8349609375
14,4.798828125,4.498046875,6.2587890625,4.798828125,6.8349609375,4.498046875,6.7802734375,6.8349609375
15,4.619140625,4.498046875,6.2587890625,4.619140625,6.8349609375,4.498046875,6.7802734375,6.8349609375
16,4.7626953125,4.498046875,6.2587890625,4.7626953125,6.8349609375,4.498046875,6.7802734375,6.8349609375
17,4.8759765625,4.498046875,6.2587890625,4.8759765625,6.8349609375,4.498046875,6.7802734375,6.8349609375
18,4.7451171875,4.498046875,6.2587890625,4.7451171875,6.8349609375,4.498046875,6.7802734375,6.8349609375
19,4.619140625,4.498046875,6.6162109375,4.619140625,6.8349609375,4.498046875,6.7802734375,6.8349609375
20,4.619140625,4.498046875,6.6630859375,4.619140625,6.8349609375,4.498046875,6.7802734375,6.8349609375
21,4.619140625,4.498046875,6.5498046875,4.619140625,6.8349609375,4.498046875,6.7802734375,6.8349609375
22,4.619140625,4.498046875,6.5068359375,4.619140625,7.19140625,4.498046875,6.7802734375,7.19140625
23,4.619140625,4.498046875,6.4775390625,4.619140625,7.025390625,4.498046875,6.7802734375,7.025390625
24,4.619140625,4.498046875,6.7197265625,4.619140625,7.2841796875,4.498046875,6.7802734375,7.2841796875
25,4.701171875,4.498046875,6.5751953125,4.701171875,7.1875,4.498046875,6.7802734375,7.1875
26,4.9951171875,4.498046875,6.0537109375,4.9951171875,7.0546875,4.498046875,6.7802734375,7.0546875
27,4.841796875,4.498046875,5.837890625,4.841796875,6.337890625,4.498046875,6.7802734375,6.337890625
28,4.7626953125,4.498046875,6.1796875,4.7626953125,6.337890625,4.498046875,6.7470703125,6.337890625
29,4.8759765625,4.498046875,6.142578125,4.8759765625,6.337890625,4.498046875,6.4638671875,6.337890625
30,4.7451171875,4.498046875,5.8955078125,4.7451171875,6.337890625,4.498046875,6.5888671875,6.337890625
31,4.619140625,4.498046875,5.837890625,4.619140625,6.337890625,4.498046875,6.0859375,6.337890625
32,4.619140625,4.498046875,5.837890625,4.619140625,6.337890625,4.498046875,6.43359375,6.337890625
33,4.619140625,4.498046875,5.837890625,4.619140625,6.337890625,4.498046875,6.0771484375,6.337890625
34,4.619140625,4.498046875,5.837890625,4.619140625,6.337890625,4.498046875,6.0419921875,6.337890625
35,4.619140625,4.498046875,5.837890625,4.619140625,6.337890625,4.498046875,5.869140625,6.337890625
36,4.619140625,4.498046875,5.837890625,4.619140625,6.337890625,4.498046875,5.99609375,6.337890625
37,4.701171875,4.498046875,5.8896484375,4.701171875,6.337890625,4.498046875,5.919921875,6.337890625
38,4.9951171875,4.498046875,5.6474609375,4.9951171875,6.337890625,4.498046875,5.99609375,6.337890625
39,4.841796875,4.498046875,6.0458984375,4.841796875,6.337890625,4.498046875,6.0244140625,6.337890625
40,4.7626953125,4.498046875,5.8115234375,4.7626953125,6.337890625,4.498046875,5.869140625,6.337890625
41,4.8759765625,4.498046875,5.9208984375,4.8759765625,6.337890625,4.498046875,5.869140625,6.337890625
42,4.7451171875,4.498046875,5.62109375,4.7451171875,6.337890625,4.498046875,5.869140625,6.337890625
43,4.9296875,4.498046875,5.646484375,4.9296875,6.703125,4.498046875,5.869140625,6.703125
44,4.701171875,4.498046875,5.689453125,4.701171875,6.5234375,4.498046875,5.869140625,6.5234375
45,4.78125,4.498046875,5.6123046875,4.78125,6.81640625,4.498046875,5.869140625,6.81640625
46,4.51953125,4.498046875,5.669921875,4.51953125,6.6669921875,4.498046875,5.869140625,6.6669921875
47,4.5390625,4.498046875,5.5634765625,4.5390625,6.5068359375,4.498046875,5.869140625,6.5068359375
48,4.712890625,4.498046875,5.517578125,4.712890625,6.2294921875,4.498046875,5.869140625,6.2294921875
49,4.615234375,4.498046875,5.517578125,4.615234375,6.2294921875,4.498046875,5.869140625,6.2294921875
50,4.6044921875,4.498046875,5.517578125,4.6044921875,6.2294921875,4.498046875,5.869140625,6.2294921875
51,4.5556640625,4.498046875,5.517578125,4.5556640625,6.2294921875,4.498046875,5.869140625,6.2294921875
52,4.58203125,4.498046875,5.517578125,4.58203125,6.2294921875,4.498046875,5.869140625,6.2294921875
53,4.5224609375,4.498046875,5.517578125,4.5224609375,6.2294921875,4.498046875,5.869140625,6.2294921875
54,4.5888671875,4.498046875,5.517578125,4.5888671875,6.2294921875,4.498046875,5.869140625,6.2294921875
55,4.521484375,4.498046875,5.173828125,4.521484375,6.2294921875,4.498046875,5.466796875,6.2294921875
56,4.7373046875,4.498046875,5.3291015625,4.7373046875,6.2294921875,4.498046875,5.33203125,6.2294921875
57,4.517578125,4.498046875,5.4794921875,4.517578125,6.2294921875,4.498046875,5.4560546875,6.2294921875
58,4.6025390625,4.498046875,5.6162109375,4.6025390625,6.2294921875,4.498046875,5.3251953125,6.2294921875
