,ansatz_0a,ansatz_0b,ansatz_0c,ansatz_0d,ansatz_1a,ansatz_1b,ansatz_1c,ansatz_1d
0,7.0126953125,4.498046875,8.1845703125,7.0126953125,7.0966796875,4.498046875,8.556640625,7.0966796875
1,7.7666015625,4.50390625,7.763671875,7.7666015625,7.8916015625,4.50390625,8.6455078125,7.8916015625
2,7.7109375,4.5078125,7.953125,7.7109375,7.4775390625,4.5078125,8.7177734375,7.4775390625
3,7.060546875,4.486328125,7.86328125,7.060546875,7.5205078125,4.486328125,8.306640625,7.5205078125
4,7.447265625,4.4765625,7.759765625,7.447265625,7.2138671875,4.4765625,8.505859375,7.2138671875
5,6.9892578125,4.525390625,8.3232421875,6.9892578125,7.9521484375,4.525390625,8.70703125,7.9521484375
6,7.53125,4.490234375,7.974609375,7.53125,8.0869140625,4.490234375,8.560546875,8.0869140625
7,7.1337890625,4.5,7.865234375,7.1337890625,6.8935546875,4.5,8.412109375,6.8935546875
8,7.0458984375,4.5390625,8.107421875,7.0458984375,6.8779296875,4.5390625,8.5205078125,6.8779296875
9,7.7265625,4.53515625,7.859375,7.7265625,8.0849609375,4.53515625,8.64453125,8.0849609375
10,7.53515625,4.529296875,8.2529296875,7.53515625,7.69921875,4.529296875,8.763671875,7.69921875
11,7.1318359375,4.515625,7.7412109375,7.1318359375,7.375,4.515625,8.3056640625,7.375
12,7.751953125,4.52734375,7.6787109375,7.751953125,7.3828125,4.52734375,8.5556640625,7.3828125
13,6.9541015625,4.53125,8.24609375,6.9541015625,7.662109375,4.53125,8.611328125,7.662109375
14,7.5888671875,4.474609375,8.171875,7.5888671875,8.060546875,4.474609375,8.58203125,8.060546875
15,7.189453125,4.48046875,7.904296875,7.189453125,6.9306640625,4.48046875,8.53515625,6.9306640625
16,7.0439453125,4.484375,7.9931640625,7.0439453125,7.646484375,4.484375,8.5419921875,7.646484375
17,7.580078125,4.478515625,7.8828125,7.580078125,7.5927734375,4.478515625,8.6220703125,7.5927734375
18,7.2275390625,4.544921875,7.7744140625,7.2275390625,7.39453125,4.544921875,8.7373046875,7.39453125
19,7.451171875,4.51171875,8.140625,7.451171875,7.7421875,4.51171875,8.6435546875,7.7421875
20,7.1494140625,4.533203125,8.041015625,7.1494140625,7.744140625,4.533203125,8.2373046875,7.744140625
21,7.6357421875,4.513671875,7.98046875,7.6357421875,7.2841796875,4.513671875,8.9140625,7.2841796875
22,7.3876953125,4.5390625,7.9970703125,7.3876953125,8.1455078125,4.5390625,8.4619140625,8.1455078125
23,7.2939453125,4.544921875,7.87890625,7.2939453125,6.9521484375,4.544921875,8.703125,6.9521484375
24,7.7265625,4.5234375,7.9521484375,7.7265625,7.548828125,4.5234375,8.779296875,7.548828125
25,7.072265625,4.51953125,8.21875,7.072265625,7.6240234375,4.51953125,8.470703125,7.6240234375
26,6.8896484375,4.5078125,7.9482421875,6.8896484375,7.341796875,4.5078125,8.98828125,7.341796875
27,7.970703125,4.515625,7.958984375,7.970703125,7.716796875,4.515625,8.2734375,7.716796875
28,7.3427734375,4.462890625,8.2060546875,7.3427734375,7.1572265625,4.462890625,8.7412109375,7.1572265625
29,7.39453125,4.50390625,8.0029296875,7.39453125,8.0048828125,4.50390625,8.419921875,8.0048828125
30,7.169921875,4.529296875,8.0712890625,7.169921875,7.283203125,4.529296875,8.8916015625,7.283203125
31,7.6064453125,4.54296875,7.91015625,7.6064453125,7.7861328125,4.54296875,8.3681640625,7.7861328125
32,7.599609375,4.478515625,8.076171875,7.599609375,7.966796875,4.478515625,8.6298828125,7.966796875
33,6.9462890625,4.52734375,7.892578125,6.9462890625,7.0615234375,4.52734375,8.4208984375,7.0615234375
34,7.5185546875,4.515625,7.8994140625,7.5185546875,7.3125,4.515625,8.724609375,7.3125
35,7.279296875,4.529296875,7.9892578125,7.279296875,7.6044921875,4.529296875,8.4501953125,7.6044921875
36,7.97265625,4.5078125,8.0908203125,7.97265625,7.5751953125,4.5078125,8.5126953125,7.5751953125
37,6.802734375,4.494140625,7.8291015625,6.802734375,7.5810546875,4.494140625,8.611328125,7.5810546875
38,7.4814453125,4.513671875,7.5302734375,7.4814453125,7.580078125,4.513671875,8.8154296875,7.580078125
39,7.3212890625,4.5234375,8.376953125,7.3212890625,7.5869140625,4.5234375,8.548828125,7.5869140625
40,7.2236328125,4.51171875,8.2236328125,7.2236328125,7.4736328125,4.51171875,8.345703125,7.4736328125
41,7.3037109375,4.490234375,7.6533203125,7.3037109375,7.439453125,4.490234375,8.7265625,7.439453125
42,7.212890625,4.517578125,7.9453125,7.212890625,6.9697265625,4.517578125,8.4892578125,6.9697265625
43,7.6357421875,4.51171875,7.9921875,7.6357421875,8.11328125,4.51171875,8.55859375,8.11328125
44,7.5185546875,4.509765625,7.7802734375,7.5185546875,7.49609375,4.509765625,8.638671875,7.49609375
45,7.0615234375,4.4453125,8.0107421875,7.0615234375,7.5341796875,4.4453125,8.330078125,7.5341796875
46,7.41015625,4.5,7.4638671875,7.41015625,7.74609375,4.5,8.1845703125,7.74609375
47,7.3046875,4.5078125,8.2978515625,7.3046875,7.3564453125,4.5078125,8.892578125,7.3564453125
48,7.111328125,4.466796875,8.044921875,7.111328125,7.037109375,4.466796875,8.6181640625,7.037109375
49,7.515625,4.5390625,7.9365234375,7.515625,7.8720703125,4.5390625,8.6513671875,7.8720703125
50,7.671875,4.498046875,8.0576171875,7.671875,8.0849609375,4.498046875,8.505859375,8.0849609375
51,7.138671875,4.50390625,7.8662109375,7.138671875,7.1396484375,4.50390625,8.7119140625,7.1396484375
52,6.6181640625,4.498046875,7.7890625,6.6181640625,7.13671875,4.498046875,8.39453125,7.13671875
53,6.578125,4.50390625,7.8916015625,6.578125,7.2216796875,4.50390625,8.0224609375,7.2216796875
54,6.5517578125,4.498046875,7.5458984375,6.5517578125,6.8759765625,4.498046875,7.4599609375,6.8759765625
55,6.7138671875,4.50390625,7.73046875,6.7138671875,7.4501953125,4.50390625,7.73828125,7.4501953125
56,6.59765625,4.498046875,7.302734375,6.59765625,6.8642578125,4.498046875,7.169921875,6.8642578125
57,6.5224609375,4.50390625,7.5625,6.5224609375,7.060546875,4.50390625,7.32421875,7.060546875
58,6.62109375,4.498046875,7.513671875,6.62109375,6.8857421875,4.498046875,7.4169921875,6.8857421875
59,6.5888671875,4.50390625,6.912109375,6.5888671875,7.0048828125,4.50390625,6.8212890625,7.0048828125
60,6.49609375,4.498046875,6.2900390625,6.49609375,6.921875,4.498046875,6.9482421875,6.921875
61,6.5830078125,4.50390625,6.291015625,6.5830078125,6.681640625,4.50390625,7.4453125,6.681640625
62,6.404296875,4.498046875,6.27734375,6.404296875,6.5380859375,4.498046875,6.93359375,6.5380859375
63,6.7578125,4.50390625,6.5888671875,6.7578125,7.0390625,4.50390625,6.63671875,7.0390625
64,6.6328125,4.498046875,6.416015625,6.6328125,6.5498046875,4.498046875,6.83203125,6.5498046875
65,6.3544921875,4.50390625,6.017578125,6.3544921875,6.3212890625,4.50390625,6.5947265625,6.3212890625
66,6.4619140625,4.498046875,5.85546875,6.4619140625,6.4462890625,4.498046875,6.669921875,6.4462890625
67,6.36328125,4.50390625,6.0078125,6.36328125,6.1845703125,4.50390625,6.568359375,6.1845703125
68,6.3515625,4.498046875,6.09765625,6.3515625,6.3525390625,4.498046875,6.638671875,6.3525390625
69,6.423828125,4.50390625,5.73828125,6.423828125,6.1806640625,4.50390625,6.5673828125,6.1806640625
70,6.4716796875,4.498046875,5.6044921875,6.4716796875,6.66015625,4.498046875,6.7607421875,6.66015625
71,6.4365234375,4.50390625,5.9404296875,6.4365234375,5.9013671875,4.50390625,6.6123046875,5.9013671875
72,6.5390625,4.498046875,5.595703125,6.5390625,5.8154296875,4.498046875,6.6953125,5.8154296875
73,6.2578125,4.50390625,5.763671875,6.2578125,5.494140625,4.50390625,6.609375,5.494140625
74,6.181640625,4.498046875,5.8193359375,6.181640625,5.404296875,4.498046875,6.63671875,5.404296875
75,6.45703125,4.50390625,5.326171875,6.45703125,5.708984375,4.50390625,6.7294921875,5.708984375
76,6.3115234375,4.498046875,5.5126953125,6.3115234375,5.2958984375,4.498046875,6.7666015625,5.2958984375
77,6.2529296875,4.50390625,5.2587890625,6.2529296875,5.5966796875,4.50390625,6.408203125,5.5966796875
78,6.451171875,4.498046875,5.2177734375,6.451171875,5.21484375,4.498046875,6.4697265625,5.21484375
