,ansatz_2a,ansatz_2b,ansatz_3c,ansatz_3b,ansatz_4a,ansatz_4b
0,7.2841796875,7.65625,6.8427734375,7.3701171875,7.505859375,7.48828125
1,6.8623046875,7.37109375,6.33203125,6.94140625,7.3974609375,7.3125
2,6.48046875,7.0263671875,6.5830078125,6.8037109375,7.4072265625,7.56640625
3,6.2744140625,7.0439453125,6.458984375,6.552734375,7.6474609375,7.3505859375
4,6.658203125,6.7744140625,6.4443359375,6.8369140625,7.40234375,7.3837890625
5,6.423828125,6.80078125,6.84375,6.669921875,7.400390625,7.4404296875
6,6.7451171875,6.740234375,6.53125,6.7939453125,7.453125,7.5283203125
7,6.138671875,7.0673828125,6.0146484375,6.9853515625,7.009765625,7.4365234375
8,6.15234375,6.978515625,6.490234375,6.65234375,7.376953125,7.4208984375
9,6.0771484375,7.212890625,6.396484375,6.517578125,6.947265625,7.435546875
10,5.8369140625,6.638671875,6.29296875,6.55859375,7.3701171875,7.3193359375
11,6.1357421875,6.44140625,6.5439453125,6.2900390625,7.23828125,7.2626953125
12,5.90234375,6.47265625,5.86328125,6.38671875,6.8427734375,7.306640625
13,5.888671875,6.7412109375,5.791015625,6.2197265625,6.1357421875,7.2119140625
14,6.1025390625,6.50390625,5.79296875,5.908203125,6.1630859375,6.8486328125
15,5.5439453125,6.3369140625,5.9267578125,5.947265625,6.263671875,6.865234375
16,5.5048828125,6.5166015625,5.65234375,6.287109375,5.5966796875,7.2587890625
17,5.796875,6.2529296875,5.4541015625,6.251953125,5.9423828125,7.1181640625
18,5.34375,6.1162109375,5.48828125,6.2734375,5.833984375,7.29296875
19,4.998046875,6.3134765625,5.3046875,5.91796875,5.63671875,6.8349609375
20,5.201171875,6.2119140625,5.2978515625,5.955078125,5.998046875,6.8408203125
21,5.0615234375,6.060546875,5.203125,5.91015625,5.8779296875,6.8427734375
22,5.1181640625,6.39453125,5.2412109375,5.84375,5.6513671875,6.7724609375
23,5.193359375,5.8623046875,5.0537109375,5.87109375,5.2890625,6.8076171875
24,5.2841796875,6.060546875,5.1962890625,5.826171875,5.34375,6.7958984375
25,5.1572265625,5.8857421875,5.099609375,5.6064453125,5.12890625,6.5244140625
