,ansatz_2a,ansatz_2b,ansatz_3c,ansatz_3b,ansatz_4a,ansatz_4b
0,7.33203125,7.86328125,6.4052734375,7.533203125,7.3056640625,7.6953125
1,7.5361328125,7.4853515625,7.2763671875,7.251953125,7.7861328125,7.2333984375
2,7.31640625,7.6943359375,7.3427734375,7.984375,7.8623046875,7.935546875
3,7.3564453125,7.7275390625,6.6640625,6.869140625,7.353515625,7.2119140625
4,7.474609375,7.4833984375,6.7158203125,7.38671875,7.392578125,7.4814453125
5,7.2431640625,7.671875,7.10546875,7.357421875,7.599609375,7.5732421875
6,7.2314453125,7.5029296875,6.7548828125,7.3701171875,7.2373046875,7.37109375
7,7.400390625,7.689453125,6.998046875,7.4794921875,7.798828125,7.578125
8,7.189453125,7.5078125,6.7119140625,7.267578125,7.1162109375,7.25390625
9,7.5283203125,7.794921875,7.1025390625,7.2958984375,7.884765625,7.666015625
10,6.91796875,7.6083984375,7.08203125,7.490234375,7.5283203125,7.58984375
11,7.80859375,7.8671875,6.7705078125,7.3671875,7.466796875,7.5185546875
12,7.0634765625,7.44140625,6.775390625,7.2265625,7.3974609375,7.2021484375
13,7.7197265625,7.7890625,7.0791015625,7.78125,7.7373046875,8.064453125
14,7.5478515625,7.673828125,6.8134765625,7.3369140625,7.52734375,7.5146484375
15,7.20703125,7.4296875,7.1787109375,7.4775390625,7.697265625,7.537109375
16,7.4111328125,7.5087890625,6.9580078125,7.1220703125,7.62890625,7.2587890625
17,7.1943359375,7.6416015625,6.84765625,7.4375,7.49609375,7.5556640625
18,6.95703125,7.4091796875,6.806640625,7.4794921875,7.447265625,7.388671875
19,7.732421875,7.970703125,7.01171875,7.33203125,7.6484375,7.677734375
20,7.44140625,7.728515625,6.7880859375,7.6083984375,7.55859375,7.7958984375
21,7.2734375,7.568359375,7.138671875,7.0703125,7.5634765625,7.169921875
22,7.7685546875,7.6181640625,7.1123046875,7.3330078125,7.482421875,7.4052734375
23,7.0927734375,7.7255859375,6.7666015625,7.5654296875,7.4638671875,7.646484375
24,7.580078125,7.6484375,6.9072265625,7.8095703125,7.4423828125,7.779296875
25,7.0859375,7.935546875,6.8857421875,7.2099609375,7.525390625,7.3271484375
26,7.3544921875,7.4189453125,6.876953125,7.53125,7.63671875,7.603515625
27,7.501953125,7.865234375,7.2119140625,7.1767578125,7.6259765625,7.388671875
28,7.611328125,7.369140625,7.0087890625,7.4560546875,7.525390625,7.826171875
29,7.0,8.140625,6.78515625,7.5322265625,7.6279296875,7.166015625
30,7.1611328125,7.6787109375,7.1708984375,7.1474609375,7.849609375,7.3291015625
