,ev_op_r_COBYLA,ev_op_r3_COBYLA,ev_op_H_COBYLA,ev_op_H_2f_COBYLA,ev_op_H_3f_COBYLA,ev_op_Hp_COBYLA,ev_op_Hp2_COBYLA,ev_op_Hp3_COBYLA,ev_op_Hp4_COBYLA,ev_op_r_SPSA,ev_op_r3_SPSA,ev_op_H_SPSA,ev_op_H_2f_SPSA,ev_op_H_3f_SPSA,ev_op_Hp_SPSA,ev_op_Hp2_SPSA,ev_op_Hp3_SPSA,ev_op_Hp4_SPSA
0,7.3779296875,5.0888671875,8.00390625,8.5,8.400390625,8.55859375,8.380859375,6.51171875,7.818359375,7.0498046875,5.5302734375,7.693359375,8.48046875,8.45703125,8.498046875,8.09375,4.91015625,7.6640625
1,7.3779296875,5.0888671875,8.00390625,8.5,8.400390625,8.55859375,8.380859375,6.51171875,7.818359375,7.50390625,5.169921875,7.78125,8.8203125,7.634765625,8.279296875,8.5859375,6.431640625,8.310546875
2,7.3779296875,5.0888671875,8.00390625,8.5,8.400390625,8.55859375,8.380859375,6.51171875,7.818359375,7.0859375,5.8095703125,8.53515625,8.8828125,6.869140625,8.5078125,8.3359375,5.708984375,7.677734375
3,5.9599609375,7.4453125,8.00390625,8.5,8.400390625,7.10546875,8.353515625,7.2421875,7.869140625,7.486328125,5.30078125,7.439453125,7.775390625,7.568359375,8.689453125,8.57421875,8.03125,6.923828125
4,4.6591796875,5.84765625,8.00390625,8.5,8.400390625,7.9140625,8.6796875,6.06640625,8.685546875,7.0283203125,4.5283203125,7.251953125,8.05859375,5.640625,8.4765625,8.056640625,7.544921875,7.89453125
5,7.1318359375,5.84765625,6.73828125,6.91015625,6.23046875,6.13671875,7.51171875,8.244140625,7.240234375,7.525390625,6.3994140625,8.611328125,8.087890625,7.755859375,8.478515625,8.169921875,5.685546875,8.234375
6,4.6591796875,5.3056640625,7.0078125,7.369140625,7.005859375,6.15234375,7.02734375,6.556640625,8.263671875,7.525390625,5.88671875,7.693359375,8.353515625,7.2421875,8.5,7.87109375,7.431640625,6.529296875
7,7.1376953125,5.484375,8.099609375,4.908203125,7.078125,6.7265625,7.255859375,6.177734375,7.09765625,7.0283203125,4.517578125,7.7890625,8.31640625,7.564453125,8.5,8.62109375,7.2890625,8.794921875
8,4.6591796875,5.484375,8.322265625,6.31640625,5.701171875,6.13671875,7.939453125,8.16015625,6.013671875,7.525390625,7.046875,8.09765625,8.251953125,8.83203125,8.4765625,8.708984375,6.8984375,7.6953125
9,7.1435546875,7.2978515625,6.5546875,7.859375,7.48046875,7.0,7.15234375,8.212890625,7.203125,7.0283203125,4.7060546875,7.853515625,8.564453125,7.6953125,8.478515625,8.21484375,7.392578125,7.333984375
10,5.8544921875,5.162109375,6.73828125,5.890625,6.8984375,5.92578125,4.8671875,6.59765625,8.677734375,7.50390625,4.7724609375,7.75,8.73828125,8.03515625,8.5390625,8.81640625,6.44921875,8.41796875
11,4.5009765625,4.541015625,6.970703125,6.69140625,5.4296875,5.3046875,7.2265625,8.189453125,5.826171875,7.0498046875,5.947265625,7.716796875,8.32421875,6.65625,8.501953125,7.890625,8.173828125,6.6796875
12,4.7001953125,4.62890625,6.5546875,7.859375,7.51171875,4.93359375,4.8671875,5.37890625,6.39453125,7.486328125,5.4384765625,8.283203125,8.13671875,7.755859375,8.498046875,8.505859375,6.251953125,8.220703125
13,4.5009765625,4.8125,6.146484375,5.890625,6.89453125,4.83203125,7.400390625,6.55078125,5.1484375,7.0859375,4.6025390625,7.74609375,8.79296875,8.458984375,8.515625,8.376953125,6.759765625,7.98828125
14,4.7001953125,5.119140625,6.146484375,7.5859375,7.775390625,4.95703125,4.8671875,5.685546875,5.3203125,7.490234375,6.4072265625,7.841796875,7.62109375,7.353515625,8.52734375,8.16015625,5.291015625,8.2890625
15,4.5009765625,4.6015625,5.82421875,7.947265625,5.935546875,5.19140625,7.880859375,6.625,6.1796875,7.0869140625,4.4873046875,8.12109375,8.283203125,7.935546875,8.685546875,8.099609375,7.849609375,8.73828125
16,4.7001953125,5.3603515625,5.72265625,7.31640625,4.58203125,4.759765625,5.23046875,8.701171875,7.708984375,7.0859375,6.384765625,8.0859375,8.13671875,6.671875,8.474609375,7.73046875,6.701171875,7.98046875
17,4.5625,4.548828125,6.41796875,7.322265625,6.708984375,4.951171875,6.62109375,5.291015625,7.599609375,7.486328125,4.6298828125,7.798828125,7.076171875,8.51171875,8.501953125,8.4453125,8.287109375,7.75390625
18,4.50390625,5.0322265625,5.849609375,4.484375,7.16796875,4.541015625,5.470703125,5.291015625,6.404296875,7.490234375,4.96875,8.107421875,8.509765625,8.7421875,8.484375,8.404296875,7.44140625,8.58203125
19,4.5068359375,4.541015625,6.197265625,6.5625,6.39453125,4.51171875,5.515625,5.92578125,5.41796875,7.0869140625,5.498046875,7.021484375,8.15625,7.71484375,8.697265625,8.451171875,7.13671875,7.75390625
20,4.5009765625,5.806640625,5.58984375,5.37109375,7.7109375,4.5625,4.80859375,5.291015625,7.8125,7.0869140625,5.435546875,7.75390625,6.525390625,7.890625,8.685546875,8.29296875,5.583984375,6.939453125
21,4.498046875,4.541015625,6.322265625,4.484375,7.16796875,4.529296875,5.044921875,6.328125,7.236328125,7.490234375,4.8046875,8.177734375,8.6484375,8.6484375,8.52734375,8.541015625,7.447265625,7.611328125
22,4.50390625,4.8876953125,4.94140625,4.759765625,6.39453125,4.62890625,5.005859375,5.49609375,5.1484375,7.50390625,6.013671875,8.181640625,7.994140625,8.484375,8.21875,8.3125,7.119140625,8.1953125
23,4.498046875,4.9482421875,4.43359375,4.484375,5.833984375,4.509765625,4.765625,4.931640625,6.828125,7.0498046875,4.724609375,6.6015625,7.890625,7.34375,8.509765625,8.599609375,7.505859375,7.81640625
24,4.50390625,4.4853515625,4.814453125,4.767578125,6.89453125,4.4765625,4.580078125,5.404296875,5.1484375,7.490234375,5.8798828125,8.5703125,7.673828125,7.564453125,8.689453125,8.626953125,6.6171875,8.4453125
25,4.5009765625,4.501953125,4.482421875,4.578125,7.583984375,4.4765625,4.927734375,5.076171875,5.703125,7.0869140625,4.787109375,7.591796875,8.400390625,7.833984375,8.5078125,7.3828125,7.51171875,8.123046875
26,4.498046875,4.5595703125,4.501953125,4.875,6.82421875,4.474609375,5.146484375,5.158203125,5.11328125,7.525390625,4.8427734375,7.498046875,8.24609375,8.318359375,8.513671875,7.583984375,7.2265625,8.48046875
27,4.498046875,4.48828125,4.658203125,4.9921875,5.041015625,4.470703125,4.59375,6.203125,7.46875,7.0283203125,5.6416015625,8.1796875,7.658203125,8.859375,8.51171875,8.52734375,7.130859375,7.333984375
