,op_index,ops_names,op_vals
0,399,YYIIIXIXIIIX,-0.9012
1,414,IXIIXXIXIIIX,-0.9012
2,140,IXXXIIIXIXII,-0.9012
3,450,IXIIIXYYIIIX,-0.9012
4,416,IXIIYYIXIIIX,-0.9012
5,646,IXIIIXIXIIYY,-0.9012
6,526,IIXXIXIIIXIX,-0.9012
7,527,IIYYIXIIIXIX,-0.9012
8,542,IIIXXXIIIXIX,-0.9012
9,544,IIIXYYIIIXIX,-0.9012
10,574,IIIXIXIIXXIX,-0.9012
11,578,IIIXIXIIYYIX,-0.9012
12,638,IXIIIXIXIIXX,-0.9012
13,82,IIXIIIXIIIII,0.933
14,100,XIIIIIIIXIII,0.933
15,104,IIIIXIIIXIII,0.933
16,86,IIIIXIXIIIII,0.933
17,374,XIIIIIIIIIXI,0.933
18,378,IIXIIIIIIIXI,0.933
19,2,ZZIIIIIIIIII,-1.5
20,5,IIZZIIIIIIII,-1.5
21,8,IIIIZZIIIIII,-1.5
22,37,IIIIIIIIIIZZ,-1.5
23,26,IIIIIIIIZZII,-1.5
24,15,IIIIIIZZIIII,-1.5
25,108,IXIXIIIXIXII,-1.741
26,382,IXIIIXIXIIIX,-1.741
27,510,IIIXIXIIIXIX,-1.741
28,3,IIZIIIIIIIII,-2.5
29,6,IIIIZIIIIIII,-2.5
30,9,IIIIIIZIIIII,-2.5
31,31,IIIIIIIIIIZI,-2.5
32,20,IIIIIIIIZIII,-2.5
33,0,ZIIIIIIIIIII,-2.5
34,42,XIIIIIIIIIII,2.8978
35,52,IIXIIIIIIIII,2.8978
36,62,IIIIXIIIIIII,2.8978
37,364,IIIIIIIIIIXI,2.8978
38,72,IIIIIIXIIIII,2.8978
39,90,IIIIIIIIXIII,2.8978
